Date,Team1,Team2,Player Team,Player,Overall Kills,Overall Deaths,Overal Kill / Death,Overall Kill / Round,Overall Rounds with Kills,Overall Kill - Death Diff,Opening Total Kills,Opening Total Deaths,Opening Kill Ratio,Opening Kill rating,Opening Team win percent after 1st kill,Opening 1st kill in won rounds
14th of May 2020,AVEZ,Secret,Heretics,Paweł 'byali' Bieliński,27079,25800,1.05,0.70,18559,1279,3523,3080,1.14,0.99,74.8%,13.3%
14th of May 2020,AVEZ,Secret,AVEZ,Kuba 'Markoś' Markowski,3698,3661,1.01,0.68,2542,37,555,498,1.11,1.02,70.6%,15.0%
14th of May 2020,AVEZ,Secret,AVEZ,Piotr 'nawrot' Nawrocki,5478,6045,0.91,0.63,3807,-567,848,884,0.96,0.98,70.5%,13.9%
14th of May 2020,AVEZ,Secret,AVEZ,Kamil 'KEi' Pietkun,2097,2102,1.00,0.72,1418,-5,337,331,1.02,1.06,72.4%,17.0%
14th of May 2020,AVEZ,Secret,AVEZ,Kacper 'Kylar' Walukiewicz,1472,1396,1.05,0.70,968,76,200,201,1.00,0.98,75.5%,14.3%
14th of May 2020,AVEZ,Secret,Secret,Martin 'PERCY' Wessel,14036,13965,1.01,0.69,9460,71,2120,2273,0.93,1.00,73.3%,15.1%
14th of May 2020,AVEZ,Secret,Heretics,Karol 'rallen' Rodowicz,26162,23903,1.09,0.72,17682,2259,3814,3254,1.17,1.04,74.3%,15.1%
14th of May 2020,AVEZ,Secret,Secret,Guy 'anarkez' Trachtman,3328,3281,1.01,0.69,2233,47,648,540,1.20,1.15,74.1%,20.1%
14th of May 2020,AVEZ,Secret,Secret,Flatron 'juanflatroo' Halimi,3683,3454,1.07,0.77,2429,229,551,546,1.01,1.05,69.7%,16.2%
14th of May 2020,AVEZ,Secret,Secret,Dionis 'sinnopsyy' Budeci,2548,2754,0.93,0.67,1719,-206,385,459,0.84,0.97,72.2%,14.8%
15th of May 2020,Mythic,"blood, sweat, and tears",Mythic,Erik 'fl0m' Flom,7902,7286,1.08,0.71,5330,616,1195,996,1.20,1.05,74.1%,16.2%
15th of May 2020,Mythic,"blood, sweat, and tears",Mythic,Donovan 'zNf' Froid,4032,3929,1.03,0.70,2751,103,585,541,1.08,1.02,75.4%,15.1%
15th of May 2020,Mythic,"blood, sweat, and tears",Mythic,Adam 'Polen' Polen,5855,6667,0.88,0.61,4108,-812,839,1068,0.79,0.92,70.6%,12.4%
15th of May 2020,Mythic,"blood, sweat, and tears",Mythic,Corbin 'C0M' Lee,2147,2156,1.00,0.69,1451,-9,337,351,0.96,1.02,63.8%,14.6%
15th of May 2020,Mythic,"blood, sweat, and tears",Mythic,Kaitlin 'Keiti' Boop,2306,2201,1.05,0.76,1497,105,306,308,0.99,1.00,74.8%,15.0%
15th of May 2020,Mythic,"blood, sweat, and tears","blood, sweat, and tears",Jimmy 'Marved' Nguyen,1676,1839,0.91,0.68,1154,-163,231,275,0.84,0.95,66.7%,13.8%
15th of May 2020,Mythic,"blood, sweat, and tears","blood, sweat, and tears",Zack 'XotiC' Elshani,2447,2184,1.12,0.75,1647,263,398,308,1.29,1.12,69.6%,17.4%
15th of May 2020,Mythic,"blood, sweat, and tears","blood, sweat, and tears",Sebastian 'retchy' Tropiano,1508,1635,0.92,0.68,1025,-127,248,237,1.05,1.05,73.0%,18.1%
15th of May 2020,Mythic,"blood, sweat, and tears","blood, sweat, and tears",Kevin '4pack' Przypasniak,2918,2788,1.05,0.75,1934,130,491,412,1.19,1.12,67.8%,18.1%
15th of May 2020,Mythic,"blood, sweat, and tears","blood, sweat, and tears",Ryan 'shanks' Ngo,1159,1258,0.92,0.70,794,-99,200,206,0.97,1.06,61.5%,16.5%
15th of May 2020,Chaos,Polar Ace,Chaos,Joshua 'steel' Nissan,9709,9510,1.02,0.71,6462,199,1742,1756,0.99,1.09,73.9%,18.1%
15th of May 2020,Chaos,Polar Ace,Chaos,Anthony 'vanity' Malaspina,7800,7944,0.98,0.67,5333,-144,1301,1321,0.98,1.04,74.3%,15.6%
15th of May 2020,Chaos,Polar Ace,Chaos,Jonathan 'Jonji' Carey,11418,11567,0.99,0.70,7722,-149,2104,2254,0.93,1.08,74.2%,17.9%
15th of May 2020,Chaos,Polar Ace,Chaos,Logan 'Voltage' Long,6937,6398,1.08,0.66,4826,539,1093,837,1.31,1.05,73.5%,15.0%
15th of May 2020,Chaos,Polar Ace,Chaos,Erick 'Xeppaa' Bach,3099,2924,1.06,0.74,2048,175,376,397,0.95,0.96,73.1%,13.3%
15th of May 2020,Chaos,Polar Ace,Polar Ace,Tony 'w0w' Zachary,1001,1133,0.88,0.60,714,-132,124,125,0.99,0.91,73.4%,11.2%
15th of May 2020,Chaos,Polar Ace,Polar Ace,Austin 'RenZ' Dickman,2212,2304,0.96,0.70,1502,-92,267,265,1.01,0.95,71.5%,13.3%
15th of May 2020,Chaos,Polar Ace,Polar Ace,Shawn 'Magowi' O'Malley,1305,1363,0.96,0.69,886,-58,194,207,0.94,1.00,63.9%,14.0%
15th of May 2020,Chaos,Polar Ace,Polar Ace,Malick 'dangle' Abid,1895,1881,1.01,0.72,1266,14,339,304,1.12,1.12,71.4%,19.5%
15th of May 2020,Chaos,Polar Ace,Polar Ace,Dennison 'fdeN' Fong,1890,1761,1.07,0.72,1290,129,277,277,1.00,1.02,69.3%,15.2%
15th of May 2020,Rugratz,New England Whalers,Rugratz,Alexander 'zander' Diaz,3554,3782,0.94,0.66,2448,-228,560,640,0.88,0.99,71.6%,14.5%
15th of May 2020,Rugratz,New England Whalers,Rugratz,Joshua 'Hunter' Madore,5596,5474,1.02,0.67,3842,122,972,803,1.21,1.09,76.0%,17.4%
15th of May 2020,Rugratz,New England Whalers,New Patrol,Maxim 'wippie' Shepelev,1971,1668,1.18,0.75,1337,303,243,183,1.33,1.01,70.4%,12.9%
15th of May 2020,Rugratz,New England Whalers,Rugratz,Erik 'penny' Penny,2684,2475,1.08,0.75,1782,209,335,343,0.98,0.98,72.2%,13.5%
15th of May 2020,Rugratz,New England Whalers,Rugratz,Adam 'mada' Pampuch,556,593,0.94,0.68,371,-37,93,93,1.00,1.05,68.8%,16.9%
15th of May 2020,Rugratz,New England Whalers,New England Whalers,Jonathan 'djay' Dallal,5915,6442,0.92,0.65,4090,-527,857,917,0.93,0.97,71.3%,14.0%
15th of May 2020,Rugratz,New England Whalers,New England Whalers,Ben 'ben1337' Smith,6292,7060,0.89,0.62,4391,-768,860,1054,0.82,0.92,74.5%,12.4%
15th of May 2020,Rugratz,New England Whalers,New England Whalers,Josh 'PwnAlone' Pigue,6818,6140,1.11,0.72,4546,678,1161,1000,1.16,1.10,72.9%,17.9%
15th of May 2020,Rugratz,New England Whalers,New England Whalers,Brandon 'BOOBIE' Roberts,2487,2652,0.94,0.66,1709,-165,362,397,0.91,0.97,70.7%,14.5%
15th of May 2020,Rugratz,New England Whalers,New England Whalers,Ramal 'Rampage' Silva,1754,1760,1.00,0.71,1185,-6,334,319,1.05,1.13,72.5%,20.6%
